Year,Argentina,Sweden
1890,5228,2735
1891,4786,2885
1892,5569,2847
1893,5728,2917
1894,6427,2931
1895,6927,3074
1896,7449,3154
1897,5820,3278
1898,6139,3391
1899,7040,3475
1900,6002,3489
1901,6340,3580
1902,6034,3534
1903,6727,3720
1904,7255,3784
1905,8014,3730
1906,8047,4029
1907,7844,4298
1908,8250,4166
1909,8275,4189
1910,8495,4266
1911,8253,4377
1912,8541,4547
1913,8233,4836
1914,7004,4943
1915,6716,5120
1916,6363,5410
1917,5698,5086
1918,6598,4705
1919,6680,4781
1920,7002,5090
1921,6886,4838
1922,7142,5195
1923,7622,5372
1924,7892,5749
1925,7531,5891
1926,7600,6190
1927,7840,6403
1928,8020,6598
1929,8078,7003
1930,7439,7317
1931,6709,7142
1932,6293,6875
1933,6402,7000
1934,6715,7465
1935,6810,7821
1936,6689,8092
1937,6997,8305
1938,6839,8573
1939,6923,9199
1940,6859,8517
1941,7042,8278
1942,6943,8340
1943,6724,8598
1944,7309,8840
1945,6898,9088
1946,7289,9985
1947,7862,10787
1948,8041,10925
1949,7687,11278
1950,7540,11977
1951,7612,11890
1952,7019,12133
1953,7198,12221
1954,7305,12896
1955,7631,13177
1956,7652,13642
1957,7863,13956
1958,8157,14031
1959,7449,14598
1960,7868,15097
1961,8254,15998
1962,7950,16607
1963,7600,17228
1964,8227,18434
1965,8818,19142
1966,8709,19222
1967,8782,19709
1968,9003,20401
1969,9610,21168
1970,9951,22054
1971,10167,22277
1972,10209,22308
1973,10419,23232
1974,10809,25048
1975,10571,25353
1976,10408,25378
1977,10918,24567
1978,10406,24784
1979,10976,25827
1980,10982,26010
1981,10221,25869
1982,9765,26431
1983,10030,26808
1984,10102,27890
1985,9262,28202
1986,9810,29138
1987,9936,29889
1988,9620,30596
1989,8820,31161
1990,8539,30901
1991,9333,30340
1992,10130,29813
1993,10602,29028
1994,11108,30000
1995,10673,31044
1996,11150,31465
1997,11935,32360
1998,12268,33709
1999,11722,35208
2000,11504,36816
2001,10875,37292
2002,9574,37941
2003,10318,38702
2004,11135,40216
2005,12039,41184
2006,12913,42873
2007,13873,44005
2008,14646,43421
2009,14605,40820
2010,15765,42898
2011,16972,43709
2012,17101,43263
2013,17629,43448
2014,17519,44029
2015,17344,44892