date,residential_building,nonfarm_employment,residential_building_share
1985-01-01,650.5,96372,0.00674988585896318
1985-02-01,643.4,96503,0.00666715024403386
1985-03-01,651.8,96842,0.00673055079407695
1985-04-01,655.2,97038,0.00675199406418104
1985-05-01,659.8,97312,0.00678025320618218
1985-06-01,661.5,97459,0.00678746960260212
1985-07-01,665.2,97648,0.006812223496641
1985-08-01,673.1,97840,0.00687959934587081
1985-09-01,678.5,98045,0.00692029170278954
1985-10-01,679.8,98233,0.00692028137184042
1985-11-01,682.9,98443,0.0069370092337698
1985-12-01,693.1,98609,0.00702877019339006
1986-01-01,686.1,98732,0.00694911477535146
1986-02-01,685.7,98847,0.00693698341881898
1986-03-01,687.1,98934,0.00694503406311278
1986-04-01,695.7,99121,0.00701869432310005
1986-05-01,700.4,99248,0.00705706916008383
1986-06-01,704.7,99155,0.0071070546114669
1986-07-01,708.3,99473,0.00712052516763343
1986-08-01,715.5,99588,0.00718460055428365
1986-09-01,719.4,99934,0.00719875117577601
1986-10-01,725.9,100121,0.00725022722505768
1986-11-01,725.3,100308,0.00723072935359094
1986-12-01,736.9,100509,0.00733168173994369
1987-01-01,722.3,100678,0.00717435785375156
1987-02-01,724.2,100919,0.00717605208137219
1987-03-01,727.9,101164,0.00719524732118145
1987-04-01,728.1,101499,0.00717346968935655
1987-05-01,727.6,101728,0.0071524064171123
1987-06-01,728.5,101900,0.00714916584887144
1987-07-01,732.1,102247,0.00716011227713283
1987-08-01,729.2,102420,0.00711970318297208
1987-09-01,731.6,102647,0.00712733932798815
1987-10-01,741.3,103138,0.00718745758110493
1987-11-01,742.8,103372,0.00718569825484657
1987-12-01,743.5,103661,0.00717241778489499
1988-01-01,745.0,103753,0.00718051526220929
1988-02-01,747.0,104214,0.00716794288675226
1988-03-01,750.1,104489,0.00717874608810497
1988-04-01,754.0,104732,0.00719932780811977
1988-05-01,751.2,104962,0.00715687582172596
1988-06-01,757.0,105326,0.00718720923608606
1988-07-01,747.1,105550,0.00707816200852676
1988-08-01,744.5,105674,0.00704525237996101
1988-09-01,740.5,106013,0.00698499240659164
1988-10-01,732.8,106276,0.00689525386728895
1988-11-01,731.7,106617,0.0068628830299108
1988-12-01,730.4,106898,0.00683268162173287
1989-01-01,734.9,107161,0.0068579053946865
1989-02-01,721.9,107427,0.00671991212637419
1989-03-01,707.1,107621,0.00657027903476087
1989-04-01,707.9,107791,0.00656733864608362
1989-05-01,709.3,107913,0.00657288741856866
1989-06-01,706.6,108027,0.00654095735325428
1989-07-01,708.9,108069,0.00655969797074092
1989-08-01,716.6,108120,0.00662782093969663
1989-09-01,710.1,108369,0.00655261190930986
1989-10-01,707.5,108476,0.00652218002138722
1989-11-01,708.1,108752,0.00651114462262763
1989-12-01,705.7,108836,0.00648406777169319
1990-01-01,710.3,109199,0.00650463832086374
1990-02-01,707.3,109435,0.00646319733174944
1990-03-01,703.0,109644,0.0064116595527343
1990-04-01,692.5,109686,0.00631347665153256
1990-05-01,688.6,109839,0.00626917579366163
1990-06-01,681.4,109856,0.00620266530731139
1990-07-01,673.9,109824,0.00613618152680653
1990-08-01,663.3,109616,0.00605112392351482
1990-09-01,656.8,109518,0.00599718767691156
1990-10-01,646.3,109367,0.00590946080627612
1990-11-01,633.8,109214,0.00580328529309429
1990-12-01,624.3,109166,0.00571881355000641
1991-01-01,610.0,109055,0.00559350786300491
1991-02-01,600.3,108734,0.00552081225743558
1991-03-01,598.0,108574,0.00550776428979314
1991-04-01,587.6,108364,0.00542246502528515
1991-05-01,584.8,108249,0.00540235937514434
1991-06-01,579.9,108334,0.0053528901360607
1991-07-01,574.1,108292,0.0053014073061722
1991-08-01,569.3,108310,0.00525620902963715
1991-09-01,568.2,108336,0.00524479397430217
1991-10-01,563.3,108357,0.00519855662301466
1991-11-01,558.2,108296,0.00515439166728226
1991-12-01,554.8,108328,0.00512148290377372
1992-01-01,551.4,108369,0.00508817097140326
1992-02-01,545.6,108311,0.00503734616059311
1992-03-01,544.7,108365,0.0050265307064089
1992-04-01,542.6,108519,0.0050000460748809
1992-05-01,542.6,108649,0.00499406345203361
1992-06-01,542.7,108715,0.00499195143264499
1992-07-01,546.7,108793,0.00502513948507716
1992-08-01,553.0,108925,0.00507688776681203
1992-09-01,556.9,108959,0.00511109683458916
1992-10-01,558.0,109139,0.00511274613108055
1992-11-01,560.0,109272,0.00512482612197086
1992-12-01,560.2,109495,0.00511621535229919
1993-01-01,563.4,109794,0.00513142794688234
1993-02-01,568.1,110044,0.00516248046236051
1993-03-01,570.5,109994,0.00518664654435696
1993-04-01,575.2,110296,0.00521505766301588
1993-05-01,582.4,110568,0.00526734679111497
1993-06-01,582.3,110749,0.00525783528519445
1993-07-01,582.9,111055,0.00524875061906263
1993-08-01,582.8,111206,0.00524072442134417
1993-09-01,586.3,111448,0.00526074940779556
1993-10-01,591.1,111733,0.00529029024549596
1993-11-01,599.3,111984,0.00535165737962566
1993-12-01,607.1,112314,0.00540538134159588
1994-01-01,614.1,112595,0.00545406101514277
1994-02-01,609.4,112781,0.00540339241538912
1994-03-01,620.4,113242,0.00547853269988167
1994-04-01,622.1,113586,0.00547690736534432
1994-05-01,625.4,113921,0.00548976922604261
1994-06-01,627.6,114238,0.00549379365885257
1994-07-01,630.0,114610,0.00549690253904546
1994-08-01,631.9,114896,0.00549975630135079
1994-09-01,633.2,115247,0.0054942861853237
1994-10-01,634.5,115458,0.00549550485890973
1994-11-01,632.4,115869,0.00545788778706988
1994-12-01,633.1,116165,0.00545000645633366
1995-01-01,633.2,116501,0.00543514647942936
1995-02-01,630.1,116697,0.00539945328500304
1995-03-01,630.4,116907,0.00539232039142224
1995-04-01,629.5,117069,0.00537717072837386
1995-05-01,628.0,117049,0.00536527437227144
1995-06-01,626.1,117286,0.00533823303719114
1995-07-01,626.0,117380,0.00533310615096269
1995-08-01,627.5,117634,0.00533434211197443
1995-09-01,629.9,117875,0.00534379639448568
1995-10-01,634.2,118031,0.00537316467707636
1995-11-01,637.5,118175,0.00539454199280728
1995-12-01,638.6,118320,0.00539722785665991
1996-01-01,642.0,118316,0.00542614692856418
1996-02-01,647.0,118739,0.00544892579523156
1996-03-01,650.1,118993,0.00546334658341247
1996-04-01,654.9,119158,0.00549606404941338
1996-05-01,658.7,119486,0.00551277973988584
1996-06-01,663.3,119769,0.00553816095984771
1996-07-01,664.6,120015,0.00553764112819231
1996-08-01,670.6,120199,0.00557908135675006
1996-09-01,674.4,120410,0.00560086371563824
1996-10-01,676.0,120665,0.00560228732441056
1996-11-01,679.7,120961,0.00561916650821339
1996-12-01,681.2,121143,0.00562310657652526
1997-01-01,684.6,121363,0.0056409284543065
1997-02-01,687.8,121675,0.00565276350934867
1997-03-01,695.3,121990,0.00569964751209116
1997-04-01,692.3,122286,0.00566131854832115
1997-05-01,690.8,122546,0.00563706689732835
1997-06-01,690.5,122814,0.00562232318791017
1997-07-01,693.6,123111,0.00563394010283403
1997-08-01,695.1,123093,0.0056469498671736
1997-09-01,695.7,123585,0.00562932394708096
1997-10-01,696.7,123929,0.00562176730224564
1997-11-01,700.0,124235,0.00563448303618143
1997-12-01,703.4,124549,0.00564757645585272
1998-01-01,704.1,124812,0.00564128449187578
1998-02-01,704.2,125016,0.00563287899148909
1998-03-01,708.3,125164,0.00565897542424339
1998-04-01,712.9,125442,0.00568310454233829
1998-05-01,718.5,125844,0.00570944979498427
1998-06-01,725.9,126076,0.00575763824994448
1998-07-01,731.3,126205,0.00579454062834278
1998-08-01,739.2,126544,0.00584144645340751
1998-09-01,739.4,126752,0.00583343852562484
1998-10-01,745.3,126954,0.00587063030704035
1998-11-01,748.7,127231,0.00588457215615691
1998-12-01,754.7,127596,0.00591476221825136
1999-01-01,764.5,127702,0.00598659378866423
1999-02-01,773.9,128120,0.0060404308460818
1999-03-01,778.0,128227,0.00606736490754677
1999-04-01,783.6,128597,0.0060934547462227
1999-05-01,792.2,128808,0.00615023911558288
1999-06-01,798.5,129089,0.00618565485827607
1999-07-01,803.7,129414,0.00621030182205944
1999-08-01,806.1,129569,0.00622139554986146
1999-09-01,810.0,129772,0.00624171624079154
1999-10-01,811.5,130177,0.00623382010647042
1999-11-01,819.6,130466,0.00628209648490795
1999-12-01,822.8,130772,0.0062918667604686
2000-01-01,832.5,131005,0.00635471928552345
2000-02-01,834.3,131124,0.00636267960098838
2000-03-01,843.2,131596,0.00640748958934922
2000-04-01,834.0,131888,0.006323547252214
2000-05-01,827.9,132105,0.00626698459558684
2000-06-01,826.7,132061,0.00625998591559961
2000-07-01,828.9,132236,0.00626833842523972
2000-08-01,822.2,132230,0.00621795356575664
2000-09-01,818.2,132353,0.00618195280802097
2000-10-01,813.2,132351,0.00614426789370689
2000-11-01,805.8,132556,0.00607894022149129
2000-12-01,797.2,132709,0.00600712837863295
2001-01-01,782.8,132698,0.00589910925560295
2001-02-01,781.8,132789,0.00588753586516955
2001-03-01,775.5,132747,0.00584193993084589
2001-04-01,772.8,132463,0.00583408197005956
2001-05-01,775.0,132410,0.00585303224831961
2001-06-01,779.6,132299,0.005892712718917
2001-07-01,781.6,132177,0.00591328294635224
2001-08-01,781.8,132028,0.00592147120307813
2001-09-01,782.9,131771,0.00594136797929742
2001-10-01,785.9,131454,0.00597851719993306
2001-11-01,787.2,131142,0.00600265361211511
2001-12-01,789.2,130982,0.00602525537860164
2002-01-01,785.8,130852,0.00600525784856173
2002-02-01,794.9,130736,0.00608019214294456
2002-03-01,798.8,130717,0.0061109113581248
2002-04-01,796.8,130623,0.00609999770331412
2002-05-01,799.3,130634,0.00611862149210772
2002-06-01,798.7,130684,0.00611168926570965
2002-07-01,800.8,130590,0.0061321693850984
2002-08-01,807.1,130587,0.00618055396019512
2002-09-01,809.4,130501,0.00620225132374465
2002-10-01,810.5,130628,0.00620464219003583
2002-11-01,826.7,130615,0.00632928836657352
2002-12-01,816.8,130472,0.00626034704764241
2003-01-01,817.8,130580,0.0062628273855108
2003-02-01,817.7,130444,0.00626859035294839
2003-03-01,821.1,130232,0.00630490202100866
2003-04-01,828.9,130177,0.00636748427141507
2003-05-01,829.0,130196,0.00636732311284525
2003-06-01,836.9,130194,0.00642809960520454
2003-07-01,836.7,130191,0.00642671152383805
2003-08-01,840.2,130149,0.00645567772322492
2003-09-01,850.2,130254,0.00652724676401492
2003-10-01,854.6,130454,0.00655096815735815
2003-11-01,858.5,130474,0.00657985499026626
2003-12-01,863.3,130588,0.00661086776732931
2004-01-01,866.4,130769,0.00662542345662963
2004-02-01,867.3,130825,0.00662946684502198
2004-03-01,875.7,131142,0.00667749462414787
2004-04-01,876.2,131411,0.00666763056365144
2004-05-01,890.8,131694,0.00676416541376221
2004-06-01,891.3,131793,0.00676287814982586
2004-07-01,898.6,131848,0.00681542382137006
2004-08-01,903.4,131937,0.0068472073792795
2004-09-01,910.4,132093,0.00689211388945667
2004-10-01,918.3,132447,0.00693333937348524
2004-11-01,923.5,132503,0.00696965351727885
2004-12-01,927.4,132624,0.0069927011702256
2005-01-01,932.1,132774,0.00702019973790049
2005-02-01,938.0,133032,0.00705093511335618
2005-03-01,942.5,133156,0.00707816395806423
2005-04-01,947.9,133518,0.00709941730702976
2005-05-01,953.0,133690,0.00712843144588226
2005-06-01,958.8,133942,0.00715832225888818
2005-07-01,964.7,134296,0.00718338595341633
2005-08-01,964.8,134498,0.00717334086752219
2005-09-01,967.6,134566,0.00719052360923264
2005-10-01,972.8,134655,0.00722438825145743
2005-11-01,985.7,134993,0.00730186009644945
2005-12-01,995.7,135149,0.00736742410228711
2006-01-01,1008.1,135429,0.00744375281512822
2006-02-01,1012.7,135737,0.00746075130583408
2006-03-01,1017.8,136047,0.00748123810153844
2006-04-01,1022.0,136205,0.00750339561690099
2006-05-01,1016.6,136244,0.00746161298846188
2006-06-01,1007.8,136325,0.00739262791124152
2006-07-01,1007.3,136520,0.00737840609434515
2006-08-01,1009.2,136694,0.0073829136611702
2006-09-01,1011.6,136843,0.00739241320345213
2006-10-01,1005.8,136852,0.00734954549440271
2006-11-01,996.0,137063,0.00726673135711315
2006-12-01,989.5,137249,0.00720952429525898
2007-01-01,982.5,137477,0.00714664998508841
2007-02-01,977.3,137558,0.00710463949752105
2007-03-01,973.2,137793,0.00706276806514119
2007-04-01,966.8,137842,0.00701382742560323
2007-05-01,965.1,137993,0.00699383302051553
2007-06-01,964.0,138069,0.00698201623825768
2007-07-01,954.4,138038,0.00691403816340428
2007-08-01,942.1,138015,0.00682606963011267
2007-09-01,936.5,138095,0.00678156341648865
2007-10-01,921.6,138174,0.00666985105736246
2007-11-01,895.0,138284,0.006472187671748
2007-12-01,896.4,138392,0.0064772530204058
2008-01-01,886.6,138403,0.00640593050728669
2008-02-01,874.5,138324,0.00632211329921055
2008-03-01,867.3,138275,0.00627228349303923
2008-04-01,854.6,138035,0.00619118339551563
2008-05-01,840.8,137858,0.00609902943608641
2008-06-01,824.8,137687,0.00599039851256836
2008-07-01,812.7,137491,0.00591093235193576
2008-08-01,800.3,137213,0.00583253773330515
2008-09-01,782.5,136753,0.00572199512990574
2008-10-01,766.4,136272,0.00562404602559587
2008-11-01,747.5,135545,0.005514773691394
2008-12-01,732.4,134839,0.00543166294618026
2009-01-01,712.1,134055,0.00531199880646004
2009-02-01,688.8,133312,0.00516682669227076
2009-03-01,667.1,132512,0.00503426104805603
2009-04-01,655.8,131817,0.00497507908691595
2009-05-01,643.9,131475,0.00489750903213539
2009-06-01,634.9,131008,0.00484626893014167
2009-07-01,629.1,130668,0.00481449168886032
2009-08-01,620.8,130485,0.00475763497720044
2009-09-01,612.8,130244,0.0047050152022358
2009-10-01,606.4,130045,0.00466300126879157
2009-11-01,602.3,130057,0.00463104638735324
2009-12-01,596.2,129788,0.00459364502111135
2010-01-01,583.1,129790,0.00449264196008938
2010-02-01,578.3,129698,0.00445881971965643
2010-03-01,580.3,129879,0.00446800483526975
2010-04-01,579.8,130110,0.00445622934440089
2010-05-01,578.1,130650,0.0044247990815155
2010-06-01,577.2,130511,0.00442261571821532
2010-07-01,570.2,130427,0.00437179418371963
2010-08-01,568.7,130422,0.00436046065847786
2010-09-01,568.0,130357,0.00435726504905759
2010-10-01,563.3,130625,0.00431234449760766
2010-11-01,560.8,130750,0.00428910133843212
2010-12-01,559.7,130822,0.00427833239057651
2011-01-01,556.9,130841,0.00425631109514602
2011-02-01,559.0,131053,0.00426544985616506
2011-03-01,562.4,131288,0.00428371214429346
2011-04-01,563.5,131602,0.00428184981991155
2011-05-01,560.1,131703,0.00425275050682217
2011-06-01,567.5,131939,0.00430123011391628
2011-07-01,565.1,131999,0.00428109303858363
2011-08-01,564.4,132125,0.0042717123935667
2011-09-01,565.6,132358,0.00427325888877136
2011-10-01,571.7,132562,0.00431269896350387
2011-11-01,571.9,132694,0.00430991604744751
2011-12-01,575.0,132896,0.00432669154827835
2012-01-01,575.2,133250,0.00431669793621013
2012-02-01,576.8,133512,0.00432021091737072
2012-03-01,573.0,133752,0.00428404808900054
2012-04-01,572.0,133834,0.00427395131282036
2012-05-01,574.0,133934,0.00428569295324563
2012-06-01,576.2,134007,0.00429977538486795
2012-07-01,583.4,134159,0.00434857147116481
2012-08-01,584.8,134331,0.00435342549374307
2012-09-01,586.5,134518,0.00436001129960303
2012-10-01,582.7,134677,0.00432664820273692
2012-11-01,590.9,134833,0.00438245830026774
2012-12-01,594.7,135072,0.00440283700544895
2013-01-01,595.6,135263,0.00440327362249839
2013-02-01,597.9,135541,0.00441121136777802
2013-03-01,601.9,135680,0.0044361733490566
2013-04-01,607.6,135871,0.00447188877685452
2013-05-01,610.4,136093,0.00448516823054823
2013-06-01,610.8,136274,0.0044821462641443
2013-07-01,610.6,136386,0.00447699910548003
2013-08-01,613.8,136628,0.0044924905583043
2013-09-01,615.1,136815,0.00449585206300479
2013-10-01,621.2,137040,0.00453298307063631
2013-11-01,625.8,137304,0.00455776962069568
2013-12-01,628.6,137373,0.0045758627969106
2014-01-01,632.4,137548,0.00459766772326751
2014-02-01,641.6,137714,0.00465893082765732
2014-03-01,642.4,137968,0.00465615215122347
2014-04-01,650.5,138293,0.00470378110244192
2014-05-01,650.0,138511,0.00469276808340132
2014-06-01,657.1,138837,0.00473288820703415
2014-07-01,665.1,139069,0.00478251803061789
2014-08-01,669.8,139257,0.00480981207407886
2014-09-01,677.3,139566,0.00485290113637992
2014-10-01,674.1,139818,0.00482126764794233
2014-11-01,676.7,140109,0.00482981107566252
2014-12-01,672.6,140377,0.00479138320380119
2015-01-01,680.1,140568,0.00483822776165272
2015-02-01,680.4,140839,0.0048310482181782
2015-03-01,682.1,140910,0.00484067844723582
2015-04-01,684.7,141194,0.00484935620493789
2015-05-01,690.0,141525,0.00487546369899311
2015-06-01,688.5,141699,0.00485889102957678
2015-07-01,697.7,142001,0.00491334568066422
2015-08-01,698.2,142126,0.00491254239196206
2015-09-01,699.8,142281,0.00491843605260014
2015-10-01,702.6,142587,0.00492751793641777
2015-11-01,708.9,142824,0.00496345152075281
2015-12-01,712.9,143097,0.00498193533057996
2016-01-01,712.8,143170,0.00497869665432702
2016-02-01,718.2,143433,0.00500721591265608
2016-03-01,720.9,143662,0.00501802842783756
2016-04-01,726.9,143849,0.00505321552461261
2016-05-01,727.1,143891,0.0050531304946105
2016-06-01,727.1,144158,0.0050437714174725
2016-07-01,727.6,144512,0.00503487599645704
2016-08-01,734.1,144647,0.0050751138979723
2016-09-01,741.7,144916,0.00511813740373734
2016-10-01,743.7,145061,0.00512680872184805
2016-11-01,744.7,145212,0.00512836404704845
2016-12-01,742.0,145442,0.00510169002076429
2017-01-01,745.5,145627,0.00511924299752106
2017-02-01,748.5,145815,0.00513321674724823
2017-03-01,746.6,145944,0.00511566080140328
2017-04-01,745.9,146141,0.00510397492832265
2017-05-01,746.8,146296,0.00510471919943129
2017-06-01,747.8,146512,0.00510401878344436
2017-07-01,751.4,146727,0.00512107519406789
2017-08-01,752.7,146911,0.0051235101524052
2017-09-01,748.7,146929,0.00509565844727726
2017-10-01,760.0,147196,0.00516318378216799
2017-11-01,763.9,147421,0.00518175836549745
2017-12-01,772.3,147551,0.00523412243902108
2018-01-01,776.6,147672,0.00525895227260415
2018-02-01,785.8,148078,0.00530666270479072
2018-03-01,787.8,148254,0.00531385325185155
2018-04-01,793.5,148391,0.00534735934119994
2018-05-01,798.3,148669,0.00536964666473845
2018-06-01,802.4,148888,0.00538928590618451
2018-07-01,802.5,149024,0.00538503865149238
2018-08-01,802.7,149268,0.0053775759037436
2018-09-01,802.7,149348,0.00537469534242173
2018-10-01,803.9,149549,0.00537549565694187
2018-11-01,808.7,149683,0.00540275114742489
2018-12-01,811.7,149865,0.00541620792046175
2019-01-01,815.5,150134,0.00543181424594029
2019-02-01,815.2,150135,0.00542977986478836
2019-03-01,817.0,150282,0.0054364461479086
2019-04-01,811.6,150492,0.00539297769981129
2019-05-01,811.7,150577,0.00539059750161047
2019-06-01,816.6,150759,0.00541659204425606
2019-07-01,818.3,150953,0.0054208925957086
2019-08-01,825.3,151160,0.00545977771897327
2019-09-01,825.4,151368,0.00545293589133767
2019-10-01,829.5,151553,0.00547333276147618
2019-11-01,830.2,151814,0.00546853386380703
2019-12-01,829.5,151998,0.00545730864879801
2020-01-01,831.8,152212,0.0054647465377237
2020-02-01,841.3,152463,0.0055180601195044
2020-03-01,837.5,151090,0.00554305380898802
2020-04-01,716.9,130403,0.00549757290859873
2020-05-01,782.5,132912,0.00588735403876249